, Estimate, Std. Error, t value,Pr(>|t|)
mu,0.0524733061854175,0.0461337306438943,1.13741736150623,0.255363852852611
omega,0.0358828466264212,0.00515404446545628,6.96207548594453,3.35287353436797e-12
alpha1,-0.0878899206664557,0.0235931972435315,-3.72522298522097,0.000195142645308399
beta1,0.969359360150703,0.000326712728093034,2967.00825158753,0
gamma1,0.134971858385939,0.0437336591879425,3.08622376659374,0.00202716204022835
shape,5.94246526579002,0.893886933392184,6.64789364717431,2.97317725994617e-11
