, Estimate, Std. Error, t value,Pr(>|t|)
mu,0.0122144513463272,0.0554643442820826,0.22022168483966,0.82569850909536
omega,0.131871185443543,0.147984416017715,0.891115355199005,0.372867288019828
alpha1,0.0557360258332067,0.0241475243012604,2.30814658835637,0.0209909847142125
beta1,0.910181989279057,0.0491755067138671,18.5088482071989,0
gamma1,-0.0875573643613145,0.140928210608532,-0.621290542065631,0.534408475504029
delta,2.0666098832144,0.689137352067189,2.99883597517279,0.0027101316599254
