, Estimate, Std. Error, t value,Pr(>|t|)
mu,0.0139682177280918,0.0537467605863169,0.259889481258297,0.794949025302466
omega,0.0367611669926019,0.00891612339947426,4.12299890272599,3.73971480640556e-05
alpha1,0.0124759162471124,0.0276983331193614,0.450421192977551,0.652406766514826
beta1,0.978233283485837,0.00170069467808296,575.196298367035,0
gamma1,0.139828283559872,0.0609095251225984,2.29567187198433,0.0216946498991308
