, Estimate, Std. Error, t value,Pr(>|t|)
mu,0.0840529036259218,0.0530795509869471,1.58352702807511,0.113301391279415
omega,0.413558038119466,0.232780388879582,1.77660171507575,0.0756337932690274
alpha1,0.173011064948339,0.0817072644369641,2.11745021866219,0.0342216559879112
beta1,0.720105504032973,0.124238862803324,5.79613727769655,6.78597222858457e-09
