,Close
nobs,1257
NAs,0
Minimum,-13.588056
Maximum,16.195134
1. Quartile,-1.002769
3. Quartile,1.10993
Mean,0.071085
Median,0.029402
Sum,89.353462
SE Mean,0.05879
LCL Mean,-0.044254
UCL Mean,0.186423
Variance,4.344589
Stdev,2.084368
Skewness,-0.035121
Kurtosis,9.854199
