,AIC,BIC,HQ
sGARCH+N,9,9,9
GARCH-M+N,10,10,10
eGARCH+N,12,12,12
apARCH+N,11,11,11
sGARCH+t,1,1,1
GARCH-M+t,2,3,2
eGARCH+t,4,4,4
apARCH+t,3,6,5
sGARCH+GED,5,2,3
GARCH-M+GED,6,5,6
eGARCH+GED,8,7,8
apARCH+GED,7,8,7
