, Estimate, Std. Error, t value,Pr(>|t|)
mu,-0.206813746663799,0.240204639664276,-0.860989808326993,0.38924365627938
archm,0.114062978390749,0.125993368602369,0.905309379819253,0.36530150860152
omega,0.117760990159688,0.0871782816320804,1.35080650771113,0.17675742290607
alpha1,0.0578341517228777,0.0251068414761845,2.30352160297571,0.0212495131123938
beta1,0.912812612646765,0.0407732796874973,22.3875199552973,0
