, Estimate, Std. Error, t value,Pr(>|t|)
mu,-0.35780313371117,0.237975051931454,-1.50353211736763,0.132701881223388
archm,0.195651485579419,0.11832830806095,1.65346305364766,0.0982366594086233
omega,0.147644070349419,0.164360366314842,0.898294848446607,0.369028378252593
alpha1,0.0389810280699425,0.02780065913515,1.40216200919699,0.160866873483582
beta1,0.925360936236664,0.0640798991620054,14.4407364608547,0
shape,4.41589806543003,0.548467956238305,8.05133283577165,8.88178419700125e-16
