, Estimate, Std. Error, t value,Pr(>|t|)
mu,0.0641267200362651,0.0361086263463714,1.77593906290233,0.0757429615623118
omega,0.394257625847172,0.168290054288889,2.342726832629,0.0191433933411826
alpha1,0.142865807433802,0.0588376406064779,2.428136240019,0.0151766409762149
beta1,0.746552178797266,0.0894654330459993,8.34458799761714,0
shape,1.33194594706583,0.0806871190570136,16.5075412610118,0
