, Estimate, Std. Error, t value,Pr(>|t|)
mu,0.0185337764205107,0.0673410886019983,0.275222405893224,0.783145374016679
omega,0.0315466474178593,0.0061241521306106,5.15118611443017,2.5884415677524e-07
alpha1,0.0190421600815236,0.0254005502748057,0.749675100559186,0.453450407359831
beta1,0.975370606238284,0.00362677379958672,268.936156522756,0
gamma1,0.107193263973029,0.0828731309095867,1.29346222106627,0.195851242233303
shape,1.20784015497249,0.0616625155130645,19.5879156878798,0
