, Estimate, Std. Error, t value,Pr(>|t|)
mu,0.0528015133119156,0.0534454384012981,0.987951729677143,0.323176289077788
omega,0.157424921088868,0.100375321547733,1.56836280732616,0.116796485818934
alpha1,0.13924545111088,0.0595131246358091,2.33974357695036,0.0192969837935708
beta1,0.814435285459348,0.0838258615162036,9.71579976308287,0
gamma1,0.256869811364664,0.17910089318878,1.43421848317592,0.151509924113822
delta,1.10220504820513,0.23365683757457,4.71719578012934,2.39117566191993e-06
