, Estimate, Std. Error, t value,Pr(>|t|)
mu,0.0529760523673786,0.0465916566786932,1.1370287331209,0.25552627423742
omega,0.0741752050384196,0.0578084207144335,1.28312111145253,0.199449648537497
alpha1,0.0787405972041462,0.0360536889531615,2.18398170868009,0.028963592163896
beta1,0.900334864550355,0.0515942970105021,17.4502787462554,0
gamma1,0.653238519057665,0.248113220401911,2.63282431302735,0.00846781364284688
delta,0.974246832571972,0.335951842022184,2.89995978800925,0.00373210535503943
shape,6.08755454976542,0.916443866644988,6.64258310991962,3.08233438772731e-11
