, Estimate, Std. Error, t value,Pr(>|t|)
mu,0.000312134458199638,0.0530281083878534,0.00588620766776466,0.995303512900437
omega,0.121136167169741,0.0901978103124141,1.34300563118071,0.179270150451967
alpha1,0.0579414975051825,0.0252374891548981,2.29585031813425,0.0216844412427537
beta1,0.911770068006503,0.0416820411256833,21.8744102587792,0
