, Estimate, Std. Error, t value,Pr(>|t|)
mu,0.0138829867760507,0.0454775076987081,0.305271495263691,0.760159383898938
omega,0.150401199653536,0.159475677647547,0.943098043990969,0.345630756149162
alpha1,0.03927397051149,0.0270487315120362,1.45197088055733,0.146509702161683
beta1,0.924391326360981,0.0618182469381023,14.953373350858,0
shape,4.424763774337,0.549607814335308,8.05076576228865,8.88178419700125e-16
