, Estimate, Std. Error, t value,Pr(>|t|)
mu,0.0417600987318035,0.0227736980582967,1.83369862131767,0.0666987433953281
omega,0.103519502043553,0.0872902320429059,1.18592309380814,0.235652672177353
alpha1,0.0969142546595299,0.0498681698893201,1.94340908989895,0.0519667498570473
beta1,0.872272048133548,0.0737367022311363,11.8295505730553,0
gamma1,0.469884779263345,0.235074108454397,1.99887934214797,0.045621410385188
delta,1.0696220471705,0.315387092150004,3.39145790615227,0.000695218414449084
shape,1.34242717584974,0.0848793887707459,15.8157026728309,0
