, Estimate, Std. Error, t value,Pr(>|t|)
mu,0.0815336594813606,0.0471019547953013,1.73100373085777,0.0834510990463433
omega,0.387107543607204,0.155327538051211,2.49220163059287,0.012695394507612
alpha1,0.126350894328465,0.0554842231198594,2.27724003732587,0.0227718954756071
beta1,0.764989327470103,0.0831586281902246,9.199157611405,0
shape,5.78767055685582,0.879243134266843,6.58255985323317,4.62416771540575e-11
