, Estimate, Std. Error, t value,Pr(>|t|)
mu,0.0186576348878196,0.0666475004884779,0.279945005455159,0.779519697720106
omega,0.161819632960783,0.275214347203807,0.587976733789061,0.556547909599038
alpha1,0.045280682556675,0.019092854728843,2.37160357629867,0.0177110818139363
beta1,0.9106702290552,0.0751607763102671,12.1162962087554,0
gamma1,-0.132747082545276,0.176476659517724,-0.752207588856494,0.451926230629461
delta,2.06143293242553,0.994624293083904,2.07257448542093,0.0382118975991461
shape,1.2155891548356,0.0648935769460355,18.7320411671323,0
