, Estimate, Std. Error, t value,Pr(>|t|)
mu,-0.288772757510166,0.302275128010028,-0.955330858384704,0.339410407001099
archm,0.215848855841286,0.170561526517706,1.26551901972382,0.205685334741276
omega,0.341821154572221,0.132263055985126,2.58440387624691,0.00975474913922914
alpha1,0.116821181982427,0.0541500966721512,2.15735869669291,0.0309777268157094
beta1,0.786665686834285,0.0762880825681084,10.3117768903415,0
shape,5.79145309864916,0.886148278362418,6.53553501153513,6.33826324758502e-11
