, Estimate, Std. Error, t value,Pr(>|t|)
mu,0.0472214025792733,0.0594688883972827,0.794052215400599,0.427165034242975
omega,0.0848720908948402,0.0826204219038408,1.02725317710941,0.304301264003539
alpha1,-0.0652351790250109,0.0307512001118249,-2.12138644305871,0.0338892951835541
beta1,0.938162490015928,0.0620625701974028,15.1163976456648,0
gamma1,0.236033800254329,0.145365584861445,1.62372545385693,0.104434416064016
