, Estimate, Std. Error, t value,Pr(>|t|)
mu,0.0217508242599278,0.0453579270052384,0.479537441325653,0.631556338847127
omega,0.0287726808469229,0.00385593169923634,7.46192699746764,8.5265128291212e-14
alpha1,0.0241379350035616,0.0221886192064065,1.08785205510185,0.27666042483987
beta1,0.978864409360564,0.000162598356715897,6020.13715963258,0
gamma1,0.0813897910603693,0.00989648536343994,8.22411068893643,2.22044604925031e-16
shape,4.37363410876783,0.632578040083012,6.91398346391203,4.71223060571901e-12
