, Estimate, Std. Error, t value,Pr(>|t|)
mu,0.0211893811343725,0.0461180226746795,0.459459879358755,0.645903956755711
omega,0.10865915517999,0.243040792474341,0.447081965433689,0.654815879906016
alpha1,0.0389975701272871,0.0207131483706068,1.88274469093395,0.0597349757702188
beta1,0.933060956756532,0.0739945699674066,12.6098571444841,0
gamma1,-0.210680612786566,0.2938742481285,-0.716907364725755,0.473431257402698
delta,1.76780859730619,1.26989638401909,1.39208885036058,0.163895494131515
shape,4.43930072157196,0.576347767868461,7.70246883750426,1.33226762955019e-14
